start_time,end_time,text
0.0,4.44, I was not breaking news. They're a different basketball team with a healthy hole LeBron James
5.84,9.96, 15 games over 500 when he's healthy three games under 500
10.48,13.82, Creates offense for himself and his teammates. They need him
14.040000000000001,19.7, They all Jeff Steph Curry what he's done over the past month and a half has been absolutely brilliant
19.88,26.8, He's as valuable as any player in this league. They play great defense and they have the ultimate home run hitter
27.52,30.32, Up beneath the team. It hasn't been easy this season
30.72,36.02, But both finished up the regular season strong the Lakers ended with a five game winning streak
36.760000000000005,39.42, And the Warriors ended with a six game winning streak
40.72,46.120000000000005, Watch out James again with that right ankle. He played last couple of games did tweak it on Sunday
46.84,49.32, But he played very well in those final two games
50.36,56.400000000000006, And here's one of the fun matchups in this series Anthony Davis has to take a tough shot well defended by Draymond Green
56.8,58.8, obviously
61.32,66.52, Both teams would love to get the win tonight and give it a little extra time to heal and prepare for their opponent
66.64,69.39999999999999, As Andrew Wiggins gets inside and gets the bucket
70.28,72.72," To me, he's the key. They need"
73.6,77.75999999999999, 25 from him tonight to be able to score enough to win
78.36,80.67999999999999, Schroeder nice play and drumming
81.4,85.60000000000001, Well a big flush down the other end and that's a welcome sight for Laker fans
85.60000000000001,92.72000000000001, It's not Anthony Davis and LeBron James making every play but you get Schroeder making plays for drumming. They can be dangerous
93.24000000000001,95.48, Can't face more for three. That's good
97.88000000000001,101.12, Now Steve Kurt talking before the game knows it's a taunting task
101.72,107.60000000000001," Against a Laker team when healthy they're as good as anybody in the league, but he also knows just one game"
107.60000000000001,110.4, That's all you have to win. This is not a playoff series
110.84,112.84, It's a one game and move on
114.52000000000001,118.44000000000001, Schroeder's jumper ball tipped and taken by Draymond Green
123.28,126.96000000000001," On the season Warriors 39 and 33, but they finished"
127.76,133.10000000000002, Winning 15 of their final 20 games in the regular season. Just great basketball as Wiggins
133.60000000000002,136.76000000000002, Knocks down another and he's playing with a lot more confidence. Look at that
136.79999999999998,141.84, He didn't wait for Steph Curry to make a play waved everybody out of the way and took advantage of his matchup
142.48,147.7, James to Davis Davis goes right at Draymond Green again. Well-defended Davis thought he was hit
153.68,159.51999999999998, Lakers have not been dominant at home this season clearly a lot of that had to do with missing the two players
160.28,161.79999999999998, As Curry pulls back
161.84,167.88000000000002, But despite all the misses as Draymond Green kicks it out to Bayes more and Bayes more from the elbow jumper way off
168.64000000000001,174.52, Looney has to throw it up and then hit the ram and it goes in Kevon Looney very aware of the shot clock about to expire
177.8,179.8, But Jeff you talked about
179.8,186.8, Without Anthony Davis and LeBron James you were impressed as Schroeder misses impressed the way the Lakers kept being competitive
187.12,189.96, Absolutely defensively they remained rock-solid
190.0,192.0, They just had some troubles offensively
193.0,199.0, But what they've done defensively all year to be the best team in the league at that end is special
200.52,205.72, Curry throws the pass stolen by Anthony Davis and number one rated defensive team
206.64000000000001,208.64000000000001, Davis for three
209.60000000000002,213.68," Rebound kept alive by Drummond, but he's going to be called for a loose ball foul"
213.88,216.84, Andre Drummond signed at the end of March after a buyout
218.24,220.24, with the Cavaliers
221.04000000000002,226.96, This is his 22nd game started all 21 games average just under 12 points little over 10 rebounds
227.56,233.08, But Frank Bogus is still a work in progress trying to get him comfortable and familiar with playing with his new teammates
235.28,237.28, Curry to Looney
